H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2020 w1: Conor H vs Jamie L -> WINNER Conor H  (playoffs=False, cons=False)
2020 w1: Colin C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w1: Jack E vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2020 w1: Jack C vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2020 w2: Colin C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2020 w2: Conor H vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2020 w2: Jake vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w2: Jack C vs Jack E -> WINNER Jack C  (playoffs=False, cons=False)
2020 w3: Jake vs Jamie L -> WINNER Jake  (playoffs=False, cons=False)
2020 w3: Colin C vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2020 w3: Jack C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w3: Jack E vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2020 w4: Jack C vs Jamie L -> WINNER Jack C  (playoffs=False, cons=False)
2020 w4: Conor H vs Jake -> WINNER Conor H  (playoffs=False, cons=False)
2020 w4: Colin C vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2020 w4: Jack E vs Kevin G -> WINNER Jack E  (playoffs=False, cons=False)
2020 w5: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2020 w5: Conor H vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2020 w5: Colin C vs Jake -> WINNER Colin C  (playoffs=False, cons=False)
2020 w5: Kevin G vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2020 w6: Jamie L vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w6: Conor H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2020 w6: Colin C vs Jack C -> WINNER Colin C  (playoffs=False, cons=False)
2020 w6: Jake vs Simon L -> WINNER Jake  (playoffs=False, cons=False)
2020 w7: Jamie L vs Simon L -> WINNER Jamie L  (playoffs=False, cons=False)
2020 w7: Conor H vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w7: Colin C vs Jack E -> WINNER Colin C  (playoffs=False, cons=False)
2020 w7: Jack C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2020 w8: Conor H vs Jamie L -> WINNER Conor H  (playoffs=False, cons=False)
2020 w8: Colin C vs Kevin G -> WINNER Colin C  (playoffs=False, cons=False)
2020 w8: Jack E vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2020 w8: Jack C vs Simon L -> WINNER Jack C  (playoffs=False, cons=False)
2020 w9: Colin C vs Jamie L -> WINNER Colin C  (playoffs=False, cons=False)
2020 w9: Conor H vs Simon L -> WINNER Conor H  (playoffs=False, cons=False)
2020 w9: Jake vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w9: Jack C vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2020 w10: Jake vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2020 w10: Colin C vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2020 w10: Jack C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w10: Jack E vs Simon L -> WINNER Jack E  (playoffs=False, cons=False)
2020 w11: Jack C vs Jamie L -> WINNER Jack C  (playoffs=False, cons=False)
2020 w11: Conor H vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2020 w11: Colin C vs Simon L -> WINNER Colin C  (playoffs=False, cons=False)
2020 w11: Jack E vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2020 w12: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2020 w12: Conor H vs Jack C -> WINNER Conor H  (playoffs=False, cons=False)
2020 w12: Colin C vs Jake -> WINNER Colin C  (playoffs=False, cons=False)
2020 w12: Kevin G vs Simon L -> WINNER Kevin G  (playoffs=False, cons=False)
