round,pick,team,manager,player,position,editorial_team_abbr,cost
1,1,ThunderGun Express,,Christian McCaffrey,RB,SF,
1,2,No Punt Intended,,Dalvin Cook,RB,Dal,
1,3,Beats by DeAndre,,Ezekiel Elliott,RB,Dal,
1,4,Bengal Royals,,Derrick Henry,RB,Bal,
1,5,Hamza’s Downfall,,Alvin Kamara,RB,NO,
1,6,Cry Me a River,,Nick Chubb,RB,Hou,
1,7,Only Here b/c it's Tradition,,Austin Ekeler,RB,Was,
1,8,Meh,,Aaron Jones Sr.,RB,Min,
1,9,Messy Discharge,,Jonathan Taylor,RB,Ind,
1,10,Fuck This Season 🐒💩,,Saquon Barkley,RB,Phi,
1,11,The Dawg House,,Najee Harris,RB,LAC,
1,12,Over the Hill,,Tyreek Hill,WR,Mia,
2,13,Over the Hill,,Travis Kelce,TE,KC,
2,14,The Dawg House,,Davante Adams,WR,LAR,
2,15,Fuck This Season 🐒💩,,Antonio Gibson,RB,NE,
2,16,Messy Discharge,,Stefon Diggs,WR,NE,
2,17,Meh,,Clyde Edwards-Helaire,RB,NO,
2,18,Only Here b/c it's Tradition,,Joe Mixon,RB,Hou,
2,19,Cry Me a River,,DK Metcalf,WR,Pit,
2,20,Hamza’s Downfall,,Patrick Mahomes,QB,KC,
2,21,Bengal Royals,,DeAndre Hopkins,WR,Bal,
2,22,Beats by DeAndre,,Calvin Ridley,WR,Ten,
2,23,No Punt Intended,,Justin Jefferson,WR,Min,
2,24,ThunderGun Express,,Terry McLaurin,WR,Was,
3,25,ThunderGun Express,,Josh Allen,QB,Buf,
3,26,No Punt Intended,,A.J. Brown,WR,Phi,
3,27,Beats by DeAndre,,Darren Waller,TE,Mia,
3,28,Bengal Royals,,Chris Carson,RB,Sea,
3,29,Hamza’s Downfall,,David Montgomery,RB,Det,
3,30,Cry Me a River,,George Kittle,TE,SF,
3,31,Only Here b/c it's Tradition,,Chris Godwin,WR,TB,
3,32,Meh,,CeeDee Lamb,WR,Dal,
3,33,Messy Discharge,,James Robinson,RB,NO,
3,34,Fuck This Season 🐒💩,,Allen Robinson,WR,Det,
3,35,The Dawg House,,Keenan Allen,WR,LAC,
3,36,Over the Hill,,Mike Evans,WR,TB,
4,37,Over the Hill,,Josh Jacobs,RB,GB,
4,38,The Dawg House,,Gus Edwards,RB,LAC,
4,39,Fuck This Season 🐒💩,,Kyler Murray,QB,Ari,
4,40,Messy Discharge,,Kyle Pitts Sr.,TE,Atl,
4,41,Meh,,D'Andre Swift,RB,Chi,
4,42,Only Here b/c it's Tradition,,Amari Cooper,WR,Buf,
4,43,Cry Me a River,,Darrell Henderson Jr.,RB,LAR,
4,44,Hamza’s Downfall,,Miles Sanders,RB,Dal,
4,45,Bengal Royals,,Cooper Kupp,WR,Sea,
4,46,Beats by DeAndre,,Tyler Lockett,WR,Ten,
4,47,No Punt Intended,,Robert Woods,WR,Pit,
4,48,ThunderGun Express,,Lamar Jackson,QB,Bal,
5,49,ThunderGun Express,,DJ Moore,WR,Chi,
5,50,No Punt Intended,,Damien Harris,RB,Buf,
5,51,Beats by DeAndre,,Julio Jones,WR,Phi,
5,52,Bengal Royals,,Adam Thielen,WR,Car,
5,53,Hamza’s Downfall,,Diontae Johnson,WR,Cle,
5,54,Cry Me a River,,Tee Higgins,WR,Cin,
5,55,Only Here b/c it's Tradition,,Justin Herbert,QB,LAC,
5,56,Meh,,Chase Claypool,WR,Buf,
5,57,Messy Discharge,,Dak Prescott,QB,Dal,
5,58,Fuck This Season 🐒💩,,Myles Gaskin,RB,Bal,
5,59,The Dawg House,,Trey Sermon,RB,Pit,
5,60,Over the Hill,,Russell Wilson,QB,NYG,
6,61,Over the Hill,,Ronald Jones,RB,Dal,
6,62,The Dawg House,,Robbie Chosen,WR,SF,
6,63,Fuck This Season 🐒💩,,Brandon Aiyuk,WR,SF,
6,64,Messy Discharge,,Mike Davis,RB,Bal,
6,65,Meh,,Tom Brady,QB,TB,
6,66,Only Here b/c it's Tradition,,Chase Edmonds,RB,TB,
6,67,Cry Me a River,,Odell Beckham Jr.,WR,Mia,
6,68,Hamza’s Downfall,,Aaron Rodgers,QB,Pit,
6,69,Bengal Royals,,Mark Andrews,TE,Bal,
6,70,Beats by DeAndre,,Kareem Hunt,RB,KC,
6,71,No Punt Intended,,T.J. Hockenson,TE,Min,
6,72,ThunderGun Express,,Tyler Higbee,TE,LAR,
7,73,ThunderGun Express,,Jerry Jeudy,WR,Cle,
7,74,No Punt Intended,,Tyler Boyd,WR,Ten,
7,75,Beats by DeAndre,,Raheem Mostert,RB,LV,
7,76,Bengal Royals,,Jalen Hurts,QB,Phi,
7,77,Hamza’s Downfall,,Mike Williams,WR,Pit,
7,78,Cry Me a River,,Matthew Stafford,QB,LAR,
7,79,Only Here b/c it's Tradition,,JuJu Smith-Schuster,WR,KC,
7,80,Meh,,Courtland Sutton,WR,Den,
7,81,Messy Discharge,,Ja'Marr Chase,WR,Cin,
7,82,Fuck This Season 🐒💩,,Kenny Golladay,WR,NYG,
7,83,The Dawg House,,Ryan Tannehill,QB,Ten,
7,84,Over the Hill,,James Conner,RB,Ari,
8,85,Over the Hill,,Deebo Samuel,WR,Was,
8,86,The Dawg House,,Antonio Brown,WR,TB,
8,87,Fuck This Season 🐒💩,,Noah Fant,TE,Cin,
8,88,Messy Discharge,,Corey Davis,WR,NYJ,
8,89,Meh,,Laviska Shenault Jr.,WR,Buf,
8,90,Only Here b/c it's Tradition,,Robert Tonyan,TE,KC,
8,91,Cry Me a River,,DeVonta Smith,WR,Phi,
8,92,Hamza’s Downfall,,Brandin Cooks,WR,NO,
8,93,Bengal Royals,,Javonte Williams,RB,Dal,
8,94,Beats by DeAndre,,Melvin Gordon III,RB,Bal,
8,95,No Punt Intended,,Joe Burrow,QB,Cin,
8,96,ThunderGun Express,,A.J. Dillon,RB,Phi,
9,97,ThunderGun Express,,Jamaal Williams,RB,NO,
9,98,No Punt Intended,,Los Angeles,DEF,LAR,
9,99,Beats by DeAndre,,DJ Chark,WR,Atl,
9,100,Bengal Royals,,Michael Gallup,WR,Was,
9,101,Hamza’s Downfall,,Logan Thomas,TE,SF,
9,102,Cry Me a River,,Devin Singletary,RB,NYG,
9,103,Only Here b/c it's Tradition,,Baltimore,DEF,Bal,
9,104,Meh,,Zack Moss,RB,Cin,
9,105,Messy Discharge,,Michael Carter,RB,Ari,
9,106,Fuck This Season 🐒💩,,Michael Pittman Jr.,WR,Ind,
9,107,The Dawg House,,Sony Michel,RB,LAC,
9,108,Over the Hill,,Dallas Goedert,TE,Phi,
10,109,Over the Hill,,Leonard Fournette,RB,Buf,
10,110,The Dawg House,,Mike Gesicki,TE,Cin,
10,111,Fuck This Season 🐒💩,,Kenyan Drake,RB,Bal,
10,112,Messy Discharge,,Jaylen Waddle,WR,Mia,
10,113,Meh,,Marquez Callaway,WR,LV,
10,114,Only Here b/c it's Tradition,,Harrison Butker,K,KC,
10,115,Cry Me a River,,Younghoe Koo,K,Atl,
10,116,Hamza’s Downfall,,DeVante Parker,WR,NE,
10,117,Bengal Royals,,Washington,DEF,Was,
10,118,Beats by DeAndre,,Trevor Lawrence,QB,Jax,
10,119,No Punt Intended,,Justin Tucker,K,Bal,
10,120,ThunderGun Express,,Mecole Hardman,WR,GB,
11,121,ThunderGun Express,,Tampa Bay,DEF,TB,
11,122,No Punt Intended,,Tae Crowder,LB,Ten,
11,123,Beats by DeAndre,,Elijah Moore,WR,Buf,
11,124,Bengal Royals,,Ryan Succop,K,TB,
11,125,Hamza’s Downfall,,Jakobi Meyers,WR,LV,
11,126,Cry Me a River,,Rob Gronkowski,TE,TB,
11,127,Only Here b/c it's Tradition,,Gerald Everett,TE,Chi,
11,128,Meh,,Will Fuller V,WR,Mia,
11,129,Messy Discharge,,Jarvis Landry,WR,NO,
11,130,Fuck This Season 🐒💩,,Henry Ruggs III,WR,LV,
11,131,The Dawg House,,Marvin Jones Jr.,WR,Det,
11,132,Over the Hill,,Curtis Samuel,WR,Buf,
12,133,Over the Hill,,Hollywood Brown,WR,KC,
12,134,The Dawg House,,James White,RB,NE,
12,135,Fuck This Season 🐒💩,,Michael Thomas,WR,NO,
12,136,Messy Discharge,,Pittsburgh,DEF,Pit,
12,137,Meh,,Trey Lance,QB,LAC,
12,138,Only Here b/c it's Tradition,,Nyheim Miller-Hines,RB,LAC,
12,139,Cry Me a River,,San Francisco,DEF,SF,
12,140,Hamza’s Downfall,,Tyrell Williams,WR,Det,
12,141,Bengal Royals,,Baker Mayfield,QB,TB,
12,142,Beats by DeAndre,,Evan Engram,TE,Den,
12,143,No Punt Intended,,Matt Ryan,QB,Ind,
12,144,ThunderGun Express,,Sterling Shepard,WR,TB,
13,145,ThunderGun Express,,Tyler Bass,K,Buf,
13,146,No Punt Intended,,David Johnson,RB,NO,
13,147,Beats by DeAndre,,Justin Fields,QB,NYJ,
13,148,Bengal Royals,,Darnell Mooney,WR,Atl,
13,149,Hamza’s Downfall,,Greg Zuerlein,K,NYJ,
13,150,Cry Me a River,,Ben Roethlisberger,QB,Pit,
13,151,Only Here b/c it's Tradition,,Cole Beasley,WR,NYG,
13,152,Meh,,Jonnu Smith,TE,Pit,
13,153,Messy Discharge,,Cole Kmet,TE,Chi,
13,154,Fuck This Season 🐒💩,,Phillip Lindsay,RB,Ind,
13,155,The Dawg House,,Buffalo,DEF,Buf,
13,156,Over the Hill,,T.J. Watt,LB,Pit,
14,157,Over the Hill,,Cleveland,DEF,Cle,
14,158,The Dawg House,,Robbie Gould,K,SF,
14,159,Fuck This Season 🐒💩,,Matt Gay,K,Was,
14,160,Messy Discharge,,Evan McPherson,K,Cin,
14,161,Meh,,New England,DEF,NE,
14,162,Only Here b/c it's Tradition,,Ryan Fitzpatrick,QB,Was,
14,163,Cry Me a River,,Nelson Agholor,WR,Bal,
14,164,Hamza’s Downfall,,Emmanuel Sanders,WR,Buf,
14,165,Bengal Royals,,Khalil Mack,LB,LAC,
14,166,Beats by DeAndre,,Giovani Bernard,RB,TB,
14,167,No Punt Intended,,Tony Pollard,RB,Ten,
14,168,ThunderGun Express,,Randall Cobb,WR,NYJ,
15,169,ThunderGun Express,,Rondale Moore,WR,Min,
15,170,No Punt Intended,,Austin Hooper,TE,NE,
15,171,Beats by DeAndre,,Kansas City,DEF,KC,
15,172,Bengal Royals,,Hunter Henry,TE,NE,
15,173,Hamza’s Downfall,,Russell Gage Jr.,WR,SF,
15,174,Cry Me a River,,Jaelan Phillips,LB,Mia,
15,175,Only Here b/c it's Tradition,,Carlos Hyde,RB,Jax,
15,176,Meh,,Rodrigo Blankenship,K,Ind,
15,177,Messy Discharge,,Shaquil Barrett,LB,TB,
15,178,Fuck This Season 🐒💩,,Denver,DEF,Den,
15,179,The Dawg House,,Alexander Mattison,RB,Mia,
15,180,Over the Hill,,Wil Lutz,K,Den,
16,181,Over the Hill,,Kirk Cousins,QB,Atl,
16,182,The Dawg House,,Lavonte David,LB,TB,
16,183,Fuck This Season 🐒💩,,Rhamondre Stevenson,RB,NE,
16,184,Messy Discharge,,Derek Carr,QB,NO,
16,185,Meh,,Jason Pierre-Paul,LB,NO,
16,186,Only Here b/c it's Tradition,,Ezekiel Turner,LB,Det,
16,187,Cry Me a River,,Dawson Knox,TE,Buf,
16,188,Hamza’s Downfall,,Isaiah Simmons,LB,GB,
16,189,Bengal Royals,,Terrace Marshall,WR,Phi,
16,190,Beats by DeAndre,,Jason Sanders,K,Mia,
16,191,No Punt Intended,,Bryan Edwards,WR,KC,
16,192,ThunderGun Express,,Brian Burns,LB,NYG,
