round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
1,1,Andrew,Ja'Marr Chase,WR,Cin,1.4,-0.4
1,2,Kevin,Bijan Robinson,RB,Atl,2.5,-0.5
1,3,Conor,Jahmyr Gibbs,RB,Det,4.2,-1.2
1,4,Jamie,Saquon Barkley,RB,Phi,2.8,1.2
1,5,Chris,Derrick Henry,RB,Bal,8.6,-3.6
1,6,Graham,Christian McCaffrey,RB,SF,8.4,-2.4
1,7,Jack C,Justin Jefferson,WR,Min,5.6,1.4
1,8,Jake,CeeDee Lamb,WR,Dal,6.7,1.3
1,9,Si,Ashton Jeanty,RB,LV,12.2,-3.2
1,10,Ben,Amon-Ra St. Brown,WR,Det,10.6,-0.6
1,11,Colin,Nico Collins,WR,Hou,9.8,1.2
1,12,Jack E,Brian Thomas Jr.,WR,Jax,15.5,-3.5
2,13,Jack E,De'Von Achane,RB,Mia,17.2,-4.2
2,14,Colin,Drake London,WR,Atl,18.1,-4.1
2,15,Ben,Josh Jacobs,RB,GB,16.4,-1.4
2,16,Si,Chase Brown,RB,Cin,23.7,-7.7
2,17,Jake,Malik Nabers,WR,NYG,12.5,4.5
2,18,Jack C,Bucky Irving,RB,TB,20.4,-2.4
2,19,Graham,Jonathan Taylor,RB,Ind,17.9,1.1
2,20,Chris,Kyren Williams,RB,LAR,26.0,-6.0
2,21,Jamie,James Cook,RB,Buf,32.9,-11.9
2,22,Conor,Ladd McConkey,WR,LAC,24.3,-2.3
2,23,Kevin,Puka Nacua,WR,LAR,14.4,8.6
2,24,Andrew,Omarion Hampton,RB,LAC,37.4,-13.4
3,25,Andrew,Kenneth Walker III,RB,Sea,40.8,-15.8
3,26,Kevin,Brock Bowers,TE,LV,22.0,4.0
3,27,Conor,Lamar Jackson,QB,Bal,22.1,4.9
3,28,Jamie,TreVeyon Henderson,RB,NE,62.1,-34.1
3,29,Chris,Josh Allen,QB,Buf,22.1,6.9
3,30,Graham,Trey McBride,TE,Ari,27.5,2.5
3,31,Jack C,A.J. Brown,WR,Phi,22.1,8.9
3,32,Jake,Jayden Daniels,QB,Was,29.0,3.0
3,33,Si,Tee Higgins,WR,Cin,30.3,2.7
3,34,Ben,George Kittle,TE,SF,30.5,3.5
3,35,Colin,Mike Evans,WR,TB,36.2,-1.2
3,36,Jack E,Garrett Wilson,WR,NYJ,39.2,-3.2
4,37,Jack E,Terry McLaurin,WR,Was,42.5,-5.5
4,38,Colin,James Conner,RB,Ari,46.3,-8.3
4,39,Ben,Marvin Harrison Jr.,WR,Ari,39.9,-0.9
4,40,Si,Jalen Hurts,QB,Phi,33.7,6.3
4,41,Jake,Tony Pollard,RB,Ten,59.2,-18.2
4,42,Jack C,Alvin Kamara,RB,NO,42.7,-0.7
4,43,Graham,Tyreek Hill,WR,Mia,36.8,6.2
4,44,Chris,George Pickens,WR,Dal,60.0,-16.0
4,45,Jamie,Courtland Sutton,WR,Den,62.4,-17.4
4,46,Conor,Chuba Hubbard,RB,Car,41.8,4.2
4,47,Kevin,Jaylen Waddle,WR,Mia,66.3,-19.3
4,48,Andrew,Davante Adams,WR,LAR,43.0,5.0
5,49,Andrew,Breece Hall,RB,NYJ,42.9,6.1
5,50,Kevin,Joe Burrow,QB,Cin,41.2,8.8
5,51,Conor,Xavier Worthy,WR,KC,61.3,-10.3
5,52,Jamie,Zay Flowers,WR,Bal,62.6,-10.6
5,53,Chris,Sam LaPorta,TE,Det,50.0,3.0
5,54,Graham,Jaxon Smith-Njigba,WR,Sea,33.6,20.4
5,55,Jack C,Patrick Mahomes,QB,KC,50.9,4.1
5,56,Jake,Ricky Pearsall,WR,SF,96.3,-40.3
5,57,Si,Tetairoa McMillan,WR,Car,72.6,-15.6
5,58,Ben,RJ Harvey,RB,Den,59.0,-1.0
5,59,Colin,Isiah Pacheco,RB,KC,64.5,-5.5
5,60,Jack E,Tyrone Tracy Jr.,RB,NYG,85.7,-25.7
6,61,Jack E,Jameson Williams,WR,Det,67.9,-6.9
6,62,Colin,D'Andre Swift,RB,Chi,69.9,-7.9
6,63,Ben,David Montgomery,RB,Det,55.3,7.7
6,64,Si,Calvin Ridley,WR,Ten,75.1,-11.1
6,65,Jake,Braelon Allen,RB,NYJ,102.9,-37.9
6,66,Jack C,Travis Hunter,WR,Jax,74.3,-8.3
6,67,Graham,DK Metcalf,WR,Pit,51.0,16.0
6,68,Chris,DeVonta Smith,WR,Phi,55.4,12.6
6,69,Jamie,Emeka Egbuka,WR,TB,95.1,-26.1
6,70,Conor,Jakobi Meyers,WR,LV,97.6,-27.6
