season,manager,place,team_key,team_name,name_source
2025,Kevin,1,461.l.54130.t.7,PAT's the way uh-huh I like it,owners_by_season.csv
2025,Jack E,2,461.l.54130.t.6,Dak to the Future,owners_by_season.csv
2025,Graham,3,461.l.54130.t.9,Never Starting Najee,owners_by_season.csv
2025,Conor,4,461.l.54130.t.3,Drake it til you make it,owners_by_season.csv
2025,Chris,5,461.l.54130.t.11,San Franshelfo 49ers,owners_by_season.csv
2025,Si,6,461.l.54130.t.8,Whole lotta Hurts,owners_by_season.csv
2025,Conor,7,461.l.54130.t.2,Belichick Daycare Centre,owners_by_season.csv
2025,Jamie,8,461.l.54130.t.1,Strength of Schedule 49ers,owners_by_season.csv
2025,Andrew,9,461.l.54130.t.10,Grease the Breece,owners_by_season.csv
2025,Ben,10,461.l.54130.t.12,The Flea Flickers,owners_by_season.csv
2025,Jake,11,461.l.54130.t.4,Unsolicited Nix Pics,owners_by_season.csv
2025,Jack C,12,461.l.54130.t.5,My Ball Zach Ertz,owners_by_season.csv
2024,Jack E,1,449.l.66930.t.6,Napoleon Kyrenite,owners_by_season.csv
2024,Colin,2,449.l.66930.t.5,For the Love of the game,owners_by_season.csv
2024,Ben,3,449.l.66930.t.12,The Flea Flickers,owners_by_season.csv
2024,Si,4,449.l.66930.t.9,Play off push,owners_by_season.csv
2024,Jake,5,449.l.66930.t.3,Kissing Cousins,owners_by_season.csv
2024,Jack C,6,449.l.66930.t.7,My Ball Zach Ertz,owners_by_season.csv
2024,Graham,7,449.l.66930.t.4,Please Bijan Robinson,owners_by_season.csv
2024,Chris,8,449.l.66930.t.11,San Franshelfo 49ers,owners_by_season.csv
2024,Jamie,9,449.l.66930.t.1,Jahmyr I Go Again,owners_by_season.csv
2024,Conor,10,449.l.66930.t.2,Brees Nutz,owners_by_season.csv
2024,Kevin,11,449.l.66930.t.8,PAT's the way uh-huh I like it,owners_by_season.csv
2024,Andrew,12,449.l.66930.t.10,Red Zone 2.0,owners_by_season.csv
2023,Colin,1,423.l.39167.t.12,Geno-less midnight runners,owners_by_season.csv
2023,Jack E,2,423.l.39167.t.4,Lights Camera Jackson,owners_by_season.csv
2023,Jamie,3,423.l.39167.t.1,Floor Is Olave,owners_by_season.csv
2023,Chris,4,423.l.39167.t.10,San Franshelfo 49ers,owners_by_season.csv
2023,Graham,5,423.l.39167.t.5,Fields of Flowers,owners_by_season.csv
2023,Andrew,6,423.l.39167.t.9,Red Zone 2.0,owners_by_season.csv
2023,Jake,7,423.l.39167.t.6,Catalina Wine Mixon,owners_by_season.csv
2023,Conor,8,423.l.39167.t.3,Brees Nutz,owners_by_season.csv
2023,Si,9,423.l.39167.t.2,Play off push,owners_by_season.csv
2023,Ben,10,423.l.39167.t.11,The Flea Flickers,owners_by_season.csv
2023,Kevin,11,423.l.39167.t.8,PAT's the way uh-huh I like it,owners_by_season.csv
2023,Jack C,12,423.l.39167.t.7,My Ball Zach Ertz,owners_by_season.csv
2022,Colin,1,414.l.336160.t.10,Tuacanplayatthat,owners_by_season.csv
2022,Jamie,2,414.l.336160.t.1,School Of Brock,owners_by_season.csv
2022,Chris,3,414.l.336160.t.7,San Franshelfo 49ers,owners_by_season.csv
2022,Jack C,4,414.l.336160.t.5,My Ball Zach Ertz,owners_by_season.csv
2022,Kevin,5,414.l.336160.t.6,PAT's the way uh-huh I like it,owners_by_season.csv
2022,Jake,6,414.l.336160.t.4,MAGAroppolo,owners_by_season.csv
2022,Graham,7,414.l.336160.t.3,Last Chance Nu'u,owners_by_season.csv
2022,Andrew,8,414.l.336160.t.12,Red Zone 1.0,owners_by_season.csv
2022,Brendan,9,414.l.336160.t.2,Beartown Beasts,owners_by_season.csv
2022,Jack E,10,414.l.336160.t.11,Hot Chubb Time Machine,owners_by_season.csv
2022,Ben,11,414.l.336160.t.8,The Flea Flickers,owners_by_season.csv
2022,Conor,12,414.l.336160.t.9,Brees Nutz,owners_by_season.csv
2021,Jake,1,406.l.787594.t.4,MAGAroppolo,owners_by_season.csv
2021,Ben,2,406.l.787594.t.8,The Flea Flickers,owners_by_season.csv
2021,Jack C,3,406.l.787594.t.5,My Ball Zach Ertz,owners_by_season.csv
2021,Brendan,4,406.l.787594.t.2,Beartown Beasts,owners_by_season.csv
2021,Conor,5,406.l.787594.t.9,Brees Nutz,owners_by_season.csv
2021,Jamie,6,406.l.787594.t.1,Meh,owners_by_season.csv
2021,Colin,7,406.l.787594.t.10,Tuacanplayatthat,owners_by_season.csv
2021,Kevin,8,406.l.787594.t.6,PAT's the way uh-huh I like it,owners_by_season.csv
2021,Chris,9,406.l.787594.t.7,Shelfadelphia Eagles,owners_by_season.csv
2021,Graham,10,406.l.787594.t.3,Last Chance Nu'u,owners_by_season.csv
2020,Brendan,1,399.l.857293.t.7,Beartown Beasts,owners_by_season.csv
2020,Chris,2,399.l.857293.t.2,Shelfadelphia Eagles,owners_by_season.csv
2020,Jack C,3,399.l.857293.t.3,My Ball Zach Ertz,owners_by_season.csv
2020,Jake,4,399.l.857293.t.4,MAGAroppolo,owners_by_season.csv
2020,Ben,5,399.l.857293.t.8,The Flea Flickers,owners_by_season.csv
2020,Graham,6,399.l.857293.t.5,Last Chance Nu'u,owners_by_season.csv
2020,Kevin,7,399.l.857293.t.6,Not So Brady Bunch,owners_by_season.csv
2020,Jamie,8,399.l.857293.t.1,Meh,owners_by_season.csv
